time,setpoint,response,pwm,,Parameters
13025216,100.00,103.05,0.00,,,
13040864,100.00,103.05,0.00,,,
13065548,100.00,103.05,0.00,,,
13081636,100.00,103.05,0.00,,,
13106168,100.00,103.05,0.00,,,
13122404,100.00,103.05,0.00,,,
13150352,100.00,103.05,0.00,,,
13168068,100.00,103.05,0.00,,,
13192456,100.00,103.05,0.00,,,
13210768,100.00,103.05,0.00,,,
13236340,100.00,103.05,0.00,,,
13253164,100.00,103.05,0.00,,,
13280812,100.00,103.05,0.00,,,
13299268,100.00,103.05,0.00,,,
13323508,100.00,103.05,0.00,,,
13342556,100.00,103.05,0.00,,,
13367540,100.00,103.05,0.00,,,
13384368,100.00,103.05,0.00,,,
13412904,100.00,103.05,0.00,,,
13428696,100.00,103.05,0.00,,,
13453232,100.00,103.05,0.00,,,
13472880,100.00,103.05,0.00,,,
13499188,100.00,103.05,0.00,,,
13514984,100.00,103.05,0.00,,,
13542928,100.00,103.05,0.00,,,
13560496,100.00,103.05,0.00,,,
13585776,100.00,103.05,0.00,,,
13601564,100.00,103.05,0.00,,,
13629356,100.00,103.05,0.00,,,
13646192,100.00,103.05,0.00,,,
13673096,100.00,103.05,0.00,,,
13691848,100.00,103.05,0.00,,,
13717576,100.00,103.05,0.00,,,
13733220,100.00,103.05,0.00,,,
13765016,100.00,103.05,0.00,,,
13782732,100.00,103.05,0.00,,,
13810232,100.00,103.05,0.00,,,
13826020,100.00,103.05,0.00,,,
13852484,100.00,103.05,0.00,,,
13868868,100.00,103.05,0.00,,,
13892072,100.00,103.05,0.00,,,
13908604,100.00,103.05,0.00,,,
13940252,100.00,103.05,0.00,,,
13958564,100.00,103.05,0.00,,,
13982504,100.00,103.05,0.00,,,
13997704,100.00,103.05,0.00,,,
14023872,100.00,103.05,0.00,,,
14040404,100.00,103.05,0.00,,,
14064052,100.00,103.05,0.00,,,
14081328,100.00,103.05,0.00,,,
14105864,100.00,103.05,0.00,,,
14120760,100.00,103.05,0.00,,,
14146780,100.00,103.05,0.00,,,
14162572,100.00,103.05,0.00,,,
14186068,100.00,103.05,0.00,,,
14203196,100.00,103.05,0.00,,,
14229360,100.00,103.05,0.00,,,
14243524,100.00,103.05,0.00,,,
14270428,100.00,103.05,0.00,,,
14287116,100.00,103.05,0.00,,,
14313580,100.00,103.05,0.00,,,
14329516,100.00,103.05,0.00,,,
14357316,100.00,103.05,0.00,,,
14374000,100.00,103.05,0.00,,,
14399576,100.00,103.05,0.00,,,
14417588,100.00,103.05,0.00,,,
14441384,100.00,103.05,0.00,,,
14456732,100.00,103.05,0.00,,,
14485120,100.00,103.05,0.00,,,
14502544,100.00,103.05,0.00,,,
14527224,100.00,103.05,0.00,,,
14543928,100.00,101.50,0.00,,,
14570600,100.00,97.62,0.00,,,
14587492,100.00,93.75,0.00,,,
14616820,100.00,87.55,0.00,,,
14634076,100.00,84.45,0.00,,,
14659516,100.00,79.03,0.00,,,
14679932,100.00,72.83,0.00,,,
14709648,100.00,61.21,0.00,,,
14727036,100.00,53.46,0.00,,,
14754828,100.00,40.29,0.00,,,
14774052,100.00,30.22,0.00,,,
14801772,100.00,15.50,0.00,,,
14818092,100.00,6.97,0.00,,,
