time,setpoint,response,pwm,,Parameters
30517624,100.00,102.27,-1.14,,,
30544856,100.00,96.07,1.96,,,
30559032,100.00,94.52,2.74,,,
30583608,100.00,92.98,3.51,,,
30599308,100.00,94.52,2.74,,,
30625504,100.00,96.07,1.96,,,
30640756,100.00,97.62,1.19,,,
30664348,100.00,99.17,0.41,,,
30681608,100.00,99.95,0.03,,,
30706624,100.00,99.95,0.03,,,
30723456,100.00,99.95,0.03,,,
30750128,100.00,99.95,0.03,,,
30767624,100.00,99.95,0.03,,,
30791576,100.00,99.95,0.03,,,
30809472,100.00,99.95,0.03,,,
30834292,100.00,99.95,0.03,,,
30850336,100.00,99.95,0.03,,,
30876532,100.00,99.95,0.03,,,
30889856,100.00,99.95,0.03,,,
30914480,100.00,99.95,0.03,,,
30931508,100.00,99.95,0.03,,,
30956804,100.00,99.95,0.03,,,
30971776,100.00,99.95,0.03,,,
30994632,100.00,99.95,0.03,,,
31011068,100.00,99.95,0.03,,,
31033644,100.00,99.95,0.03,,,
31052324,100.00,99.95,0.03,,,
31079192,100.00,99.95,0.03,,,
31096220,100.00,99.95,0.03,,,
31118992,100.00,99.95,0.03,,,
31136220,100.00,99.95,0.03,,,
31164344,100.00,99.95,0.03,,,
31182044,100.00,99.95,0.03,,,
31209300,100.00,99.95,0.03,,,
31227784,100.00,99.95,0.03,,,
31251228,100.00,99.95,0.03,,,
31271364,100.00,99.95,0.03,,,
31297172,100.00,99.95,0.03,,,
31312940,100.00,99.95,0.03,,,
31338552,100.00,99.95,0.03,,,
31354784,100.00,99.95,0.03,,,
31377564,100.00,99.95,0.03,,,
31392736,100.00,99.95,0.03,,,
31420076,100.00,99.95,0.03,,,
31434076,100.00,99.95,0.03,,,
31458228,100.00,99.95,0.03,,,
31477300,100.00,99.95,0.03,,,
31501924,100.00,99.95,0.03,,,
31516312,100.00,99.95,0.03,,,
31542788,100.00,99.95,0.03,,,
31561272,100.00,99.95,0.03,,,
31586760,100.00,99.95,0.03,,,
31602136,100.00,99.95,0.03,,,
31629596,100.00,99.95,0.03,,,
31644568,100.00,99.95,0.03,,,
31668800,100.00,99.95,0.03,,,
31685628,100.00,99.95,0.03,,,
31710924,100.00,99.95,0.03,,,
31727756,100.00,99.95,0.03,,,
31756272,100.00,99.95,0.03,,,
31771256,100.00,99.95,0.03,,,
31795684,100.00,99.95,0.03,,,
31814756,100.00,99.95,0.03,,,
31840368,100.00,99.95,0.03,,,
31857192,100.00,99.95,0.03,,,
31885324,100.00,99.95,0.03,,,
31901364,100.00,99.95,0.03,,,
31924536,100.00,99.95,0.03,,,
31945932,100.00,99.95,0.03,,,
31973392,100.00,99.95,0.03,,,
31987580,100.00,99.95,0.03,,,
32012680,100.00,99.95,0.03,,,
32030688,100.00,99.95,0.03,,,
32055112,100.00,99.95,0.03,,,
32070484,100.00,99.95,0.03,,,
32095896,100.00,99.95,0.03,,,
32110880,100.00,99.95,0.03,,,
32135104,100.00,99.95,0.03,,,
32155436,100.00,99.95,0.03,,,
32178996,100.00,99.95,0.03,,,
32196220,100.00,99.95,0.03,,,
32224940,100.00,99.95,0.03,,,
32244208,100.00,99.95,0.03,,,
32270208,100.00,99.95,0.03,,,
32287628,100.00,99.95,0.03,,,
32310008,100.00,99.95,0.03,,,
32327036,100.00,99.95,0.03,,,
32355560,100.00,99.95,0.03,,,
32370736,100.00,99.95,0.03,,,
32395360,100.00,99.95,0.03,,,
32413640,100.00,99.95,0.03,,,
32438068,100.00,99.95,0.03,,,
32452852,100.00,99.95,0.03,,,
32479328,100.00,99.95,0.03,,,
32495364,100.00,99.95,0.03,,,
32522036,100.00,99.95,0.03,,,
32534776,100.00,99.95,0.03,,,
32561720,100.00,99.95,0.03,,,
32577764,100.00,99.95,0.03,,,
32602384,100.00,99.95,0.03,,,
32619408,100.00,99.95,0.03,,,
32643248,100.00,99.95,0.03,,,
32659288,100.00,99.95,0.03,,,
32686356,100.00,99.95,0.03,,,
32703180,100.00,99.95,0.03,,,
32727612,100.00,99.95,0.03,,,
32746688,100.00,99.95,0.03,,,
32773556,100.00,99.95,0.03,,,
32793020,100.00,99.95,0.03,,,
32822524,100.00,99.95,0.03,,,
32839544,100.00,99.95,0.03,,,
32862596,100.00,99.95,0.03,,,
32881076,100.00,99.95,0.03,,,
32905304,100.00,99.95,0.03,,,
32921340,100.00,99.95,0.03,,,
32944508,100.00,99.95,0.03,,,
32961732,100.00,99.95,0.03,,,
32985956,100.00,99.95,0.03,,,
33002788,100.00,99.95,0.03,,,
33028200,100.00,99.95,0.03,,,
33043568,100.00,99.95,0.03,,,
33068780,100.00,99.95,0.03,,,
33087064,100.00,99.95,0.03,,,
33110704,100.00,99.95,0.03,,,
33125288,100.00,99.95,0.03,,,
33149716,100.00,99.95,0.03,,,
33165564,100.00,99.95,0.03,,,
33188532,100.00,99.95,0.03,,,
33203784,100.00,99.95,0.03,,,
33229000,100.00,99.95,0.03,,,
33243192,100.00,99.95,0.03,,,
33267028,100.00,99.95,0.03,,,
33282868,100.00,99.95,0.03,,,
33306036,100.00,99.95,0.03,,,
33322468,100.00,99.95,0.03,,,
33347484,100.00,99.95,0.03,,,
33363056,100.00,99.95,0.03,,,
33387476,100.00,99.95,0.03,,,
33403128,100.00,99.95,0.03,,,
33431252,100.00,99.95,0.03,,,
33448476,100.00,99.95,0.03,,,
33473964,100.00,99.95,0.03,,,
33491384,100.00,99.95,0.03,,,
33513760,100.00,99.95,0.03,,,
33531844,100.00,99.95,0.03,,,
33557732,100.00,99.95,0.03,,,
33575428,100.00,99.95,0.03,,,
33599856,100.00,99.95,0.03,,,
33618140,100.00,99.95,0.03,,,
33641700,100.00,99.95,0.03,,,
