time,setpoint,response,pwm,,Parameters
869233228,100.00,99.95,0.05,,,
869248824,100.00,99.95,0.05,,,
869275836,100.00,99.95,0.05,,,
869291432,100.00,99.95,0.05,,,
869319896,100.00,99.95,0.05,,,
869340640,100.00,99.95,0.05,,,
869367476,100.00,99.95,0.05,,,
869384700,100.00,99.95,0.05,,,
869406480,100.00,99.95,0.05,,,
869422768,100.00,99.95,0.05,,,
869445832,100.00,99.95,0.05,,,
869459284,100.00,99.95,0.05,,,
869483976,100.00,99.95,0.05,,,
869502920,100.00,99.95,0.05,,,
869567912,100.00,99.95,0.05,,,
869598272,100.00,99.95,0.05,,,
869633852,100.00,99.95,0.05,,,
869651344,100.00,99.95,0.05,,,
869681436,100.00,99.95,0.05,,,
869698928,100.00,99.95,0.05,,,
869722584,100.00,99.95,0.05,,,
869737932,100.00,99.95,0.05,,,
869762968,100.00,99.95,0.05,,,
869777800,100.00,99.95,0.05,,,
869805232,100.00,99.95,0.05,,,
869822896,100.00,99.95,0.05,,,
869846724,100.00,99.95,0.05,,,
869860448,100.00,99.95,0.05,,,
869885312,100.00,99.95,0.05,,,
869901772,100.00,99.95,0.05,,,
869928432,100.00,99.95,0.05,,,
869942060,100.00,99.95,0.05,,,
869967784,100.00,99.95,0.05,,,
870011164,100.00,99.95,0.05,,,
870052144,100.00,99.95,0.05,,,
870074172,100.00,99.95,0.05,,,
870104780,100.00,99.95,0.05,,,
870123904,100.00,99.95,0.05,,,
870146792,100.00,99.95,0.05,,,
870163600,100.00,99.95,0.05,,,
870186492,100.00,99.95,0.05,,,
870202780,100.00,99.95,0.05,,,
870229612,100.00,99.95,0.05,,,
870247280,100.00,99.95,0.05,,,
870269824,100.00,99.95,0.05,,,
870286884,100.00,99.95,0.05,,,
870313376,100.00,99.95,0.05,,,
870330176,100.00,99.95,0.05,,,
870355900,100.00,99.95,0.05,,,
870369704,100.00,99.95,0.05,,,
870394052,100.00,99.95,0.05,,,
870406148,100.00,99.95,0.05,,,
870429976,100.00,99.95,0.05,,,
870445568,100.00,99.95,0.05,,,
870470776,100.00,99.95,0.05,,,
870487064,100.00,99.95,0.05,,,
870511748,100.00,99.95,0.05,,,
870528968,100.00,99.95,0.05,,,
870550232,100.00,99.95,0.05,,,
870567892,100.00,99.95,0.05,,,
870596528,100.00,99.95,0.05,,,
870614612,100.00,99.95,0.05,,,
870668112,100.00,99.95,0.05,,,
870697092,100.00,99.95,0.05,,,
870733268,100.00,99.95,0.05,,,
870753668,100.00,99.95,0.05,,,
870780328,100.00,99.95,0.05,,,
870800308,100.00,99.95,0.05,,,
870827224,100.00,99.95,0.05,,,
870840940,100.00,99.95,0.05,,,
870865628,100.00,99.95,0.05,,,
870883024,100.00,99.95,0.05,,,
870905572,100.00,99.95,0.05,,,
870924172,100.00,99.95,0.05,,,
870946896,100.00,99.95,0.05,,,
870964636,100.00,99.95,0.05,,,
870988384,100.00,99.95,0.05,,,
871004672,100.00,99.95,0.05,,,
871028424,100.00,99.95,0.05,,,
871047024,100.00,99.95,0.05,,,
871071028,100.00,99.95,0.05,,,
871086376,100.00,99.95,0.05,,,
871111064,100.00,99.95,0.05,,,
871128636,100.00,99.95,0.05,,,
871153324,100.00,99.95,0.05,,,
871167048,100.00,99.95,0.05,,,
871191740,100.00,99.95,0.05,,,
871208368,100.00,99.95,0.05,,,
871234688,100.00,99.95,0.05,,,
871252256,100.00,99.95,0.05,,,
871276176,100.00,99.95,0.05,,,
871294608,100.00,99.95,0.05,,,
871320336,100.00,99.95,0.05,,,
871335684,100.00,99.95,0.05,,,
871365180,100.00,99.95,0.05,,,
871383440,100.00,99.95,0.05,,,
871408648,100.00,99.95,0.05,,,
871427420,100.00,99.95,0.05,,,
871452108,100.00,99.95,0.05,,,
871465656,100.00,99.95,0.05,,,
871492488,100.00,99.95,0.05,,,
871511096,100.00,99.95,0.05,,,
871536468,100.00,99.95,0.05,,,
871550784,100.00,99.95,0.05,,,
871573160,100.00,99.95,0.05,,,
871591000,100.00,99.95,0.05,,,
871611996,100.00,99.95,0.05,,,
871628116,100.00,99.95,0.05,,,
871685904,100.00,99.95,0.05,,,
871711112,100.00,99.95,0.05,,,
871746176,100.00,99.95,0.05,,,
871764776,100.00,99.95,0.05,,,
871795900,100.00,99.95,0.05,,,
871810808,100.00,99.95,0.05,,,
871833872,100.00,99.95,0.05,,,
871849808,100.00,99.95,0.05,,,
871875956,100.00,99.95,0.05,,,
871893104,100.00,99.95,0.05,,,
871918136,100.00,99.95,0.05,,,
871931000,100.00,99.95,0.05,,,
871959808,100.00,99.95,0.05,,,
871979100,100.00,99.95,0.05,,,
872005412,100.00,99.95,0.05,,,
872024440,100.00,99.95,0.05,,,
872045184,100.00,99.95,0.05,,,
872061640,100.00,99.95,0.05,,,
872083672,100.00,99.95,0.05,,,
872098848,100.00,99.95,0.05,,,
872125928,100.00,99.95,0.05,,,
872142728,100.00,99.95,0.05,,,
872165452,100.00,99.95,0.05,,,
872181908,100.00,99.95,0.05,,,
872204108,100.00,99.95,0.05,,,
872218248,100.00,99.95,0.05,,,
872243112,100.00,99.95,0.05,,,
872261028,100.00,99.95,0.05,,,
872286240,100.00,99.95,0.05,,,
872298580,100.00,99.95,0.05,,,
872324896,100.00,99.95,0.05,,,
872343496,100.00,99.95,0.05,,,
872364420,100.00,99.95,0.05,,,
872380704,100.00,99.95,0.05,,,
872405568,100.00,99.95,0.05,,,
872422716,100.00,99.95,0.05,,,
872446988,100.00,99.95,0.05,,,
872463100,100.00,99.95,0.05,,,
872488820,100.00,99.95,0.05,,,
872505532,100.00,99.95,0.05,,,
872531940,100.00,99.95,0.05,,,
872548228,100.00,99.95,0.05,,,
872571804,100.00,99.95,0.05,,,
872588516,100.00,99.95,0.05,,,
872626760,100.00,99.95,0.05,,,
872645360,100.00,99.95,0.05,,,
872688316,100.00,99.95,0.05,,,
872708716,100.00,99.95,0.05,,,
872733064,100.00,99.95,0.05,,,
872748756,100.00,99.95,0.05,,,
872781164,100.00,99.95,0.05,,,
872801736,100.00,99.95,0.05,,,
872831916,100.00,99.95,0.05,,,
872850352,100.00,99.95,0.05,,,
872880788,100.00,99.95,0.05,,,
872898452,100.00,99.95,0.05,,,
872925632,100.00,99.95,0.05,,,
872944924,100.00,99.95,0.05,,,
872989160,100.00,99.95,0.05,,,
873007588,100.00,99.95,0.05,,,
873034080,100.00,99.95,0.05,,,
873048564,100.00,99.95,0.05,,,
873074884,100.00,99.95,0.05,,,
873089884,100.00,99.95,0.05,,,
873115604,100.00,99.95,0.05,,,
873128296,100.00,99.95,0.05,,,
873154436,100.00,99.95,0.05,,,
873191824,100.00,99.95,0.05,,,
873235292,100.00,99.95,0.05,,,
873257836,100.00,99.95,0.05,,,
873292388,100.00,99.95,0.05,,,
873313132,100.00,99.95,0.05,,,
873339624,100.00,99.95,0.05,,,
873357192,100.00,99.95,0.05,,,
873387456,100.00,99.95,0.05,,,
873404776,100.00,99.95,0.05,,,
873427152,100.00,99.95,0.05,,,
873444128,100.00,99.95,0.05,,,
873469164,100.00,99.95,0.05,,,
873486564,100.00,99.95,0.05,,,
873511004,100.00,99.95,0.05,,,
873526252,100.00,99.95,0.05,,,
873550948,100.00,99.95,0.05,,,
873569032,100.00,99.95,0.05,,,
873594756,100.00,99.95,0.05,,,
873641484,100.00,99.95,0.05,,,
873681528,100.00,99.95,0.05,,,
873703556,100.00,99.95,0.05,,,
